date,sessionSource,sessions_last_30_days,activeUsers_last_30_days,screenPageViews_last_30_days
2025-06-30,checkout.getalma.eu,1,1,5
2025-06-30,hattila.com,1,1,1
2025-06-30,m.youtube.com,1,1,14
2025-06-30,search.brave.com,1,1,1
2025-06-30,search.lilo.org,1,1,1
2025-07-01,chatgpt.com,1,1,37
2025-07-01,checkout.getalma.eu,1,1,1
2025-07-01,l.facebook.com,1,1,1
2025-07-01,qwant.com,1,1,2
2025-07-01,sm1w.mj.am,1,1,14
2025-07-01,societe-des-avis-garantis.fr,1,1,3
2025-07-02,chatgpt.com,1,1,1
2025-07-02,ecosia.org,1,1,14
2025-07-02,m.facebook.com,1,0,1
2025-07-02,m.youtube.com,1,1,1
2025-07-03,duckduckgo,1,1,1
2025-07-03,hattila.com,1,1,1
2025-07-03,ig,1,1,2
2025-07-03,l.facebook.com,1,1,1
2025-07-03,search.lilo.org,1,1,9
2025-07-03,secure-magenta.dalenys.com,1,1,19
2025-07-03,youcare.world,1,1,1
2025-07-04,chatgpt.com,1,1,2
2025-07-04,duckduckgo,1,1,1
2025-07-04,ecosia.org,1,1,1
2025-07-04,facebook.com,1,1,1
2025-07-04,fr.search.yahoo.com,1,1,1
2025-07-04,l.facebook.com,1,1,10
2025-07-04,qwant.com,1,1,1
2025-07-04,uk.search.yahoo.com,1,1,12
2025-07-05,checkout.getalma.eu,1,1,6
2025-07-05,mail02.orange.fr,1,1,9
2025-07-05,qwant.com,1,1,1
2025-07-06,(not set),1,1,3
2025-07-06,copilot.microsoft.com,1,1,1
2025-07-06,fr.search.yahoo.com,1,1,1
2025-07-06,ig,1,0,1
2025-07-06,m.youtube.com,1,1,11
2025-07-07,(data not available),1,1,1
2025-07-07,checkout.getalma.eu,1,1,10
2025-07-07,ecosia.org,1,1,2
2025-07-07,grives.net,1,1,1
2025-07-07,l.facebook.com,1,1,11
2025-07-07,lm.facebook.com,1,1,45
2025-07-08,ecosia.org,1,1,3
2025-07-08,fr.search.yahoo.com,1,1,1
2025-07-08,ig,1,1,11
2025-07-08,m.facebook.com,1,1,5
2025-07-08,mail02.orange.fr,1,1,51
2025-07-08,youcare.world,1,1,15
2025-07-09,duckduckgo,1,1,1
2025-07-09,ecosia.org,1,1,1
2025-07-09,ig,1,1,1
2025-07-09,qwant.com,1,1,2
2025-07-10,(data not available),1,1,1
2025-07-10,fr.search.yahoo.com,1,1,1
2025-07-10,l.facebook.com,1,1,30
2025-07-10,l.instagram.com,1,1,8
2025-07-10,yahoo,1,1,1
